Search term,Source language,to: cs,to: da,to: de,to: el,to: en,to: es,to: et,to: fi,to: fr,to: hu,to: it,to: lt,to: nl,to: pl,to: pt,to: ro,to: sv
achille varzi,de,﻿Achille Varzi,﻿Achille Varzi,,﻿Achille Varzi,﻿Achille Varzi,﻿Achille Varzi,﻿Achille Varzi,﻿Aichille Varzi,﻿Achille Varzi,﻿Achille Varzi,﻿Achille Varzi,﻿Achille Varzi,﻿Achille Varzi,﻿Achille Varzi,﻿Achille Varzi,﻿Achille Varzi,﻿Achille Varzi
Mary Cassatt,en,﻿Mary Cassarta,﻿Mary Cassatt,﻿Mary Cassatt,﻿Mary Cassatt,,﻿Mary Cascatt,﻿Mary Caskatt,﻿Mary Cassatit,﻿Mary Cassatt,﻿Mary Castatatt,﻿Mary Cassatt,﻿Mary Cassatt,﻿Mary Cassatt,﻿Mary Cassatt,﻿Mary Cassatt,﻿Mary Cassatt,﻿Mary Cassatt
abschied,de,﻿závěrem,﻿farvel,,﻿αποχαιρετιστήρια,﻿farewell,﻿despedida,﻿lõppsõna,﻿jäähyväiset,﻿adieu,﻿búcsúztató,﻿arrivederci,﻿atsisveikinimas,﻿afscheid,﻿pożegnanie,﻿despedida,﻿farewell,﻿farewell
alban berg lyrische,de,﻿ALBAN BERG,﻿ALBAN berg,,﻿ALBAN berg,﻿Alban berg,﻿ALBAN berg,﻿ALBAN berg,﻿ALBAN-berg,﻿Alban berg lyrise,﻿ALBAN berg,﻿ALBAN berg,﻿ALBAN berg,﻿Alban berg,﻿ALBAN BERG,﻿ALBAN berg,﻿ALBAN berg,﻿Alban berg
alberto lista epistolario,es,﻿Alberto listeario,﻿Alberto listario,﻿Alberto Lisstario,﻿Alberto lisstario,﻿Alberto lisstario,,﻿Alberto notisario,﻿Alberto lissario,﻿Alberto lisstario,﻿Alberto Lisliario,﻿Alberto lisstario,﻿Alberto listario,﻿Alberto lisario,﻿Alberto listario,﻿Alberto listlario,﻿Alberto lisstatario,﻿Alberto listario
Nuremberg War Crime Trials,en,﻿Bernorimberská činnost v oblasti válečných,﻿Retssager om krigsforbrydelser i Nürnbergkrigen,﻿Nürnberger Kriegsverbrecher,﻿Επέτειοι του πολέμου για τα εγκλήματα πολέμου,,﻿Ensayos contra los crímenes de guerra de Nuremberg,﻿Sõjakuritegusid käsitlev Nürnbergi protsess,﻿Crime Trials,﻿Procès de la guerre contre la guerre de Nuremberg,﻿Háborús bűncselekmények perei,﻿Processi di condanna in materia di crimini contro la guerra tra Norimberga,﻿Niurnbergo karo nusikaltimų tyrimai,﻿Uit de Oorlogsproeven van Neurenberg,﻿Procesy w Norymberdze w zakresie procesów,﻿Julgamentos de Nuremberga por crimes de guerra contra os crimes de guerra,﻿Studiile privind crimele de război de la Nürnberg,﻿Nürnbergkonflikten – försök till brott
agde,fr,﻿Agde,﻿Agde,﻿Agde,﻿Agde,﻿Agde,﻿Agde,﻿Agde,﻿Agde,,﻿Agde,﻿Agde,﻿Agde,﻿Agde,﻿Agde,﻿Agde,﻿Agde,﻿Agde
Adamsthal,cs,,﻿Daammenthal,﻿Adamsthal,﻿Adaamshal,﻿Adaamsthal,﻿Adaamshal,﻿Adaamsenthal,﻿Adaamsthal,﻿Aldaamsthal,﻿Adaamshal,﻿Adaamsthal,﻿Adaamsathal,﻿Adaamsthal,﻿Adaamsthal,﻿Adaamsthal,﻿Adaamsthal,﻿Adaamsthal
guerra de invierno,en,﻿Guerra de invierno,﻿Guerra de inviderno,﻿Guerra de mera,﻿Guerra de vierno,,﻿guerra,﻿Guerra de invierno,﻿guerra de invierno,﻿Guerra de viererno,﻿Guerra de tagrierno,﻿guerra,﻿guerra de erkeerno,﻿Guerra de messenno,﻿Guerra de vierno,﻿Guerra de Inerno,﻿Guerra de Anerno,﻿Guerra de vierno
agathocles,es,﻿hrbolky,﻿Agothcles,﻿Agathous,﻿Agathocles,﻿agathocles,,﻿Agitoklerid,﻿Agathocles,﻿Agithoncles,﻿Agatütők,﻿Atremocle,﻿Adetocles,﻿Agathocles,﻿Agiadcles,﻿Agaothles,﻿Agatocles,﻿Agastles
universidad d eoviedo teatro,es,﻿Univerzita Eovido,﻿Eovido teateruniversitet,﻿Eovidotheater Universität,﻿Πανεπιστημιακό Πανεπιστήμιο Eovicho,﻿Eovido theatre University,,﻿Eovido teatriülikool,﻿Aurodo -teatteri,﻿L’université de théâtre Eovido,﻿Eovico színházi Egyetem,﻿Università delle sale di Eovido,﻿Eovido teatro universitetas,﻿Eovido toneelstuk,﻿Uniwersytet Eviusdo,﻿Universidade de teatro Eovido,﻿Universitatea teatrale Eovido,﻿Teateruniversitetet Eovido
aifle tower,en,﻿věž,﻿støtte til tårn,﻿Gewehrturm,﻿πύργος aifle,,﻿aïfle torre,﻿Toitorn,﻿AIflen torni,﻿tour de l’aifle,﻿aifle torony,﻿torre di aiutoa,﻿pagalbos bokštas,﻿aifle toren,﻿wieża aproksylu,﻿torre da ajuda,﻿turn de ajutor,﻿torntorn
Adrien parvilliers,en,﻿Adrien parliliers,﻿Adrien parvilliers,﻿Adrien-Parvilliers,﻿Adrien parvilliers,,﻿Adrien parvilliers,﻿Adrien parviliers,﻿Adrieen parviers,﻿Adrien parvilliers,﻿Adrien parvilliers,﻿Adrien parvilliers,﻿Adrien parvilliers,﻿Adrien Parvilliers,﻿Adrien parvilliers,﻿Adrien parvilliers,﻿Adrien parvilliers,﻿Adrien parvilliers
virgin mary,en,﻿panenský olivový olej,﻿ubrugt masse,﻿Virgin,﻿Virgin mary,,﻿Virgin,﻿Virgin,﻿neitsytömay,﻿m me vierge,﻿szűz,﻿vergini,﻿Viršasis margasnapis,﻿verkregen bij de eerste persing,﻿Kary z pierwszego tłoczenia,﻿virgem,﻿culoare virgină,﻿jungfruolja
Histoire de la dialectique,pl,﻿Histoire de la dialetique,﻿Histoire de la dialetique,﻿Histoire de la dialektique,﻿Histoire de la dialectique,﻿Histoire de la dialectique,﻿Histoire de la dialéctica,﻿Histoire de la diaque,﻿Histoire de la dialectique,﻿Histoire de la dialoptique,﻿Dialektique,﻿Histoire de la dialettique,﻿Dialectique Histoire de la diectique,﻿Historire de la dialectique,,﻿História da dialética,﻿Hispitoire de la dialectique,﻿Dialeire de la dialectique
regola delli cinque,en,﻿regola Delli cinque,﻿regola Delli cinque,﻿Rotte Delli,﻿regola Delli cinque,,﻿excepción Delli Cinque,﻿regola Delli cinque,﻿Cola Delli ckinque,﻿regola Delli cinque,﻿regola Delli cinque,﻿regola Delli cinte,﻿regola Delli ccinque,﻿Regola Delli cinque,﻿Della Delcinque,﻿regola Delli,﻿regola Delli cinque,﻿regola Delli cinque
abdulhamid,en,﻿Abdulhamid,﻿Abdulhamid,﻿Abdulhamid,﻿Abdulhamid,,﻿Abdulhamid,﻿Abdulhamid,﻿Abdulhamid,﻿Abdulhamid,﻿Abdulhamid,﻿id Abdulhamid,﻿Abdulhamid,﻿Abdulhamid,﻿Abdulhamid,﻿Abdulhamid,﻿Abdhamid,﻿Abdulhamid
veuves de guerre,fr,﻿vdovy,﻿krigsenker,﻿Witwen des Krieges,﻿χήρες πολέμου,﻿war widows,﻿viudas en conflicto,﻿Sõjalesed,﻿sotalesket,,﻿háborús özvegyek,﻿vedove di guerra,﻿karo našlys,﻿oorlogsweduwen,﻿wdowy wojenne,﻿viúvas de guerra,﻿văduvi de război,﻿krigsmateriel
jenny hasselquist,sv,﻿Jenny lískové ořechy,﻿Jenny hasselnød,﻿Jenny singio ist,﻿Jenny φουντουστικός,﻿Jenny hazelist,﻿Jenny agramist,﻿Jenny MÄÄR,﻿Jenneyn hasselpähkinä,﻿Jenny noisette,﻿Jenny Homelises,"﻿Barilenero, che si trova una delle sue dimensioni",﻿Jenny Ošist,﻿Jenny monteur,﻿Jenny hazalist,﻿Jenny assumem a qualidade de membro de uma cidade de Jenny,﻿Jenny hazellist,
gdpr,en,"﻿GDPR, obecné nařízení o ochraně údajů",﻿generel forordning om databeskyttelse,﻿Datenschutz-Grundverordnung,﻿ΓΚΠΔ,,﻿RGPD,﻿isikuandmete kaitse üldmäärus,﻿yleinen tietosuoja-asetus,﻿RGPD,﻿általános adatvédelmi rendelet,﻿RGPD,﻿BDAR,﻿AVG,﻿RODO,﻿RGPD,﻿RGPD,﻿dataskyddsförordning
alcohol,en,﻿alkohol,﻿alkohol,﻿Alkohol,﻿αλκοόλη,,﻿alcohol,﻿alkohol,﻿alkoholi,﻿alcool,﻿alkohol,﻿alcole,﻿alkoholis,﻿alcohol,﻿alkohol,﻿álcool,﻿alcool,﻿alkohol
aguas residuales,en,﻿Aguas zbytková,﻿Aguas Prestales,﻿Aguas residuales,﻿Aguas residisales,,﻿aguas residuales,﻿Aguase capales,﻿Aguas samarles,﻿résidus d’Aguas,﻿Aguas maradványos maradék,﻿Aguas residuales,﻿Aguas likučių pavidalu,﻿Aguas residues,﻿Aguas pozostałeales,﻿águas residuais,﻿Aguas suales reziduuri,﻿restprodukter från Aguas
Aethiopus,en,﻿Aethiopus,﻿Aethiopus,﻿Aethiopus,﻿Aethiopus,,﻿Aetipus,﻿Aethiopus,﻿Aethiopus,﻿Aethiopus,﻿Aethiopus,﻿Mezzi di trasporto,﻿Aetiopus,﻿Aethiopus,﻿Aethiopus,﻿Aethoniopus,﻿Aethopus,﻿Aethopus
virginis ROSAE,en,﻿virginis,﻿virgins ROSAE,﻿Virginis ROSAE,﻿virginis ROSAE,,﻿virginia ROSAE,﻿virgiin on ROSAE,﻿virginssi on ROSAE,﻿virginey ROSAE,﻿virginis ROSAE,﻿virginidae,﻿(*),﻿maagminaat ROSAE,﻿virginis ROSAE,﻿virginis ROSAE,﻿virginris ROSAE,﻿virginis ROSAE
san juan de duero,es,﻿San juan de Duero,﻿San juan de Duero,﻿San Juan de Duero,﻿San jukan de Duero,﻿San juan de duero,,﻿San juran de Duero,﻿San juan de Duero,﻿San juan de Duero,﻿San juan de Duero,﻿San Giava del Duero,﻿San juan de Duero,﻿San juan de Duero,﻿San juan de Duero,﻿San juan de Duero,﻿Universitatea din San juan de Duero,﻿San juan de Duero
aircraft,en,﻿letadla,﻿fly,﻿Luftfahrzeuge,﻿αεροσκάφος,,﻿aeronave,﻿õhusõidukid,﻿ilma-alukset,﻿aéronefs,﻿repülőgép,﻿aeromobili,﻿orlaivis,﻿luchtvaartuigen,﻿samolot,﻿aeronaves,﻿aeronave,﻿luftfartyg
Agostinho Dias Carneiro,pt,﻿Agostinho Carneiro,﻿Agostinho Carneiro,﻿Agostinho Carneiro,﻿Agostinho Carneiro,﻿Agostinho Carneiro,﻿Agostinho Carneiro,﻿Agostinho Carneiro,﻿Agostinho Carneiro,﻿Agostinho Carneiro,﻿Agostinho Carneiro,﻿Agostinho Carneiro,﻿Agostinho Carneiro,﻿Agostinho Carneiro,﻿Agostinho Carneiro,,﻿Agostinho Carneiro,﻿Agostinho Carneiro
Alba,en,﻿Indonésie,﻿Alba,﻿Alba,﻿Alba,,﻿Alba,﻿Alba,﻿Alba,﻿Alba,﻿Alba,﻿Alba,﻿Alba,﻿Alba,﻿Alba,﻿Alba,﻿Alba,﻿Alba
a marina skilouras,en,﻿rekreační přístaviště,﻿a marina skiltourias,﻿eines Jachthafens skilouras,﻿A arina Maarkera,,﻿puerto deportivo,﻿jahisadam ilmas,﻿huvivenesatama,﻿une marmite de plaisance,﻿szakképzett kishajó-kikötővel (jachtosouras),﻿una marina skipouras,﻿prieplauka – būti valoma kaip prieplauka.,﻿een jachthaven,﻿i tak samo jak i,﻿um porto de recreio com as competências,"﻿un port de agrement,",﻿en småbåtshamn
djamila boupacha,en,﻿Djamila boupacha,﻿Djamila boupacha,﻿Djamila boupacha,﻿Djamila boupacha,,﻿Djila bopacha,﻿Djamila boupacha,﻿Djaila boupacha,﻿Djamila boupaacha,﻿Djamila boaracha,﻿dott. Djamla boupacha,﻿Djamila boupcha,﻿Djamila boupacha,﻿Djamila bopacha,﻿Djamila boupacha,﻿Djamila boupacha,﻿Djamila boupacha
sir walter scott,en,"﻿vážený pane,",﻿Sir walter scopt,"﻿sehr geehrter Herr/Sehr geehrter Herr,",﻿Sir walter scopt,,﻿SIR walter scott,﻿Sir water scott,﻿”Sir wenter scott”,﻿Sir wter scott,﻿Sir walter scott,﻿Sir wwalter scott,﻿seras wactscott,﻿Verandersstaart-cott,﻿Sir walter sskot,﻿Sir walter scott,﻿SIR având un domeniu de aplicare,﻿Sir walter scortt
merza,es,﻿merza,﻿merza,﻿merza,﻿merza,﻿merza,,﻿merikoger,﻿merza,﻿merza,﻿merza,﻿merza,﻿merza,﻿merza,﻿merza,﻿merza,﻿merza,﻿merza
Fritz Wenske,pl,﻿Fritz Wenske,﻿Fritz Wenske,﻿Fritz Wenske,﻿Fritz Wenske,﻿Fritz Wenske,﻿Fritz Wenske,﻿Fritz Wenske,﻿Fritz Wenske,﻿Fritz Wenske,﻿Fritz Wenske,﻿Fritz Wenske,﻿Fritz Wenske,﻿Fritz Wenske,,﻿Fritz Wensske,﻿Fritz Wenske,﻿Fritz Wenske
la rambla cordoba,es,﻿Mombla Córdoba,﻿Mambla Cordoba,﻿Mambba Cordoba,﻿Mambla Cordoba,﻿Mambla Cordoba,,﻿Mambra Cordoba,﻿Mamola Cordoba,﻿Mamblla Cordoba,﻿Mambla Cordoba,﻿Cordoba Mabbla,﻿Mambla Cordoba,﻿Mambla Cordoba,﻿Mamla Cordoba,﻿Mambla Córdoba,﻿Mambla Cordoba,﻿Mamabla Córdoba
airplane,sv,﻿Letadlo,﻿Fly,﻿Flugzeug,﻿Αεροπλάνο,﻿Airplane,﻿Avión,﻿Lennuk,﻿Lentokone,﻿Avion,﻿Repülőgép,﻿Aeroplano,﻿Lėktuvas,﻿Vliegtuig,﻿Samolot,﻿Avião,﻿Avion,
agustin espinosa,es,﻿Spacina spp. (II),﻿Rumina spp. (II),﻿Spacina spp. (II),﻿Spacina spp. (II),﻿Spacina spp. (II),,﻿Sanorax spp. (II),﻿Spacina spp. (II),﻿Spacina spp. (II),﻿Solea solea (II),﻿Spachina spp.,"﻿Sarda, spp. (II)",﻿Spacina spp. (II),﻿Scrana spp. (II),﻿Spaceina spp. (II),﻿Sparina spp. (II),﻿Spaginan spp. (II)
Adolf Hitler,es,﻿Adolf Hitler,﻿Adolf Hitler,﻿Herr Adolf Hitler,﻿Ο Αδόλφος Χίτλερ,﻿Adolf Hitler,,﻿Adolf Hitler,﻿Adolf Hitler,﻿Adolf Hitler,﻿Adolf Hitler,﻿Adolf Hitler,﻿Adolfas Hitleris,﻿Adolf Hitler,﻿Adolf Hitler,﻿Adolf Hitler,﻿Adolf Hitler,﻿Adolf Hitler
aldershot,en,﻿Alderranin,﻿Aldershot,﻿Aldershot,﻿Alderβολής,,﻿Aldershot,﻿Alderhaat,﻿ampulli,﻿Aldershot,﻿Alderseelőtt,﻿Aldershot,﻿Alderšamas,﻿Alderschoten,﻿Alderbut,﻿Aldershot,﻿Alderalice,﻿hagel
albano,en,﻿Albano,﻿Albano,﻿Albano,﻿Albano,,﻿Albano,﻿Albano,﻿Albano,﻿Albano,﻿Albano,﻿Albania,﻿Albano,﻿Albano,﻿Albano,﻿Albano,﻿Albano,﻿Albano
Portugal dans la monde,pl,﻿Portugalský dans la monde,﻿Portugal dans la monde,﻿Portugal dans la monde,﻿Πορτογαλία dans la monde,﻿Portugal dans la monde,﻿Portugal dans la monde,﻿Portugal dans la mode,﻿Portugali,﻿Portugal dans la monde,﻿— Portugália dans la monde,﻿Portogallo dans la monde,﻿Portugalija,﻿Portugal dans la monde,,﻿Portugal dans la monde,﻿Portugal dans la monde,﻿Portugal i enlighet med
agrigento,pt,﻿Agrigento,﻿Agrigento,﻿Agrigento,﻿Agrigento,﻿Agrigento,﻿Agrigento,﻿Agrigento,﻿Agrigento,﻿Agrigento,﻿Agrigento,﻿Agrigento,﻿Agrigentas,﻿Agrigento,﻿Agrigento,,﻿Agrigento,﻿Agrigento
africa orientale italiana,it,﻿Východní Afrika,﻿Østafrika,﻿Ostafrika,﻿Ανατολική Αφρική,﻿Eastern Africa,﻿África oriental,﻿Ida-Aafrika,﻿Itä-Afrikka,﻿Afrique orientale,﻿Kelet-Afrika,,﻿Rytų Afrika,﻿Oost-Afrika,﻿Afryka Wschodnia,﻿África Oriental,﻿Africa de Est,﻿Östra Afrika
sancta rosa,en,﻿Sancta rosa,﻿Sancta rosa,﻿Sancta rosa,﻿Sancta rosa,,﻿Sancta rosa,﻿Sancta rosa,﻿Sancta,﻿Santa rosa,﻿Sancta rosa,﻿santa rosa,﻿Sancta rosa,﻿Sancta rosa,﻿Sancta rosa,﻿Sancta rosa,﻿Sancta rosa,﻿Sancta rosa
johann wilhelm ritter,de,﻿Pan Johann Wilhelm Ritter,﻿Johann Wilhelm Ritter,,﻿Κ. Johann Wilhelm Ritter,﻿Mr Johann Wilhelm Ritter,﻿Johann Wilhelm Ritter,﻿Johann Wilhelm Ritter,﻿Johann Wilhelm Ritter,﻿M. Johann Wilhelm Ritter,﻿Johann Wilhelm Ritter,﻿Sig. Johann Wilhelm Ritter,﻿Johann Wilhelm Ritter,﻿De heer Johann Wilhelm Ritter,﻿Johann Wilhelm Ritter,﻿Johann Wilhelm Ritter,﻿Dl Johann Wilhelm Ritter,﻿Johann Wilhelm Ritter
adamello,it,﻿Adamello Adamelo,﻿Adamello Adamello,﻿Adamello Adamello,﻿Adamello Adamello,﻿Adamello Adamello,﻿Adamello Adameello,﻿Adatello Adamello,﻿Adamello Adamello,﻿Adamello Adacello,﻿Adamello Adaello,,﻿Adamello Adamello,﻿Adamello Adamello,﻿Adarmello Adamello,﻿Adamello Adamello,﻿Adamelo Adamelo,﻿Adamello Adamo
Al Horezmi,en,﻿Al Herorezmi,﻿Al Horezmi,﻿Al Horezmi,﻿Al Horezmi,,﻿Al Horezmi,﻿Al Horezmi,﻿Al Horezmi,﻿Al Horezmi,﻿Al Lorezmi,﻿Al Horzmi,﻿Al Horezmi,﻿Al Horezmi,﻿Al Horezmi,﻿Al Horezmi,﻿Al Horezmi,﻿Al Horezmi
tobias michael,de,﻿Tobias špatně hael,﻿Tobias mishael,,﻿Tobias mishel,﻿Tobias mishael,﻿Tobias mishael,﻿Tobias mishael,﻿Tobias mishael,﻿Tobias michael,﻿Tobias mishael,﻿Tobias mishel,﻿Tobias mishael,﻿Tobias mishael,﻿Tobias mihael,﻿Tobias milhel,﻿Tobias mihael,﻿Tobias michael
hendrik jansen,nl,﻿Hendrik Jansen,﻿Hendrik Jansen,﻿Hendrik Jansen,﻿Hendrik Jansen,﻿Hendrik Jansen,﻿Hendrik Jansen,﻿Hendrik Jansen,﻿Hendrik Jansen,﻿Hendrik Jansen,﻿Hendrik Jansen,﻿Hendrik Jansen,﻿Hendrik Jansen,,﻿Hendrik Jansen,﻿Hendrik Jansen,﻿Hendrik Jansen,﻿Hendrik Jansen
african woman,en,﻿africká žena,﻿afrikansk kvinde,﻿Afrikanische Frauen,﻿Αφρικανική,,﻿mujer africana,﻿Aafrika naine,﻿afrikkalainen nainen,﻿la femme d’Afrique,﻿afrikai nő,﻿donna africana,﻿afrikinė moteris,﻿Afrikaanse vrouw,﻿African kobieta,﻿mulher africana,﻿femeie africană,﻿afrikanska kvinnor
t kindt,en,﻿t Kindt,﻿t Kindt,﻿ct Kindt,﻿t Kindt,,﻿t Kindt,﻿t Kint,﻿t Kindt,﻿t Kindt,﻿t Kindt,﻿t Kindt,﻿t Kindt,﻿t Kindt,﻿t Kindt,﻿t Kindt,﻿t Kindt,﻿t Kindt
Lire dans le Cri du Peuple,en,﻿Lire dans le Cri du Peuple,﻿Lire dans le Cri du Peuple,﻿Lire dans le Cri du Peuple,﻿Lire dans le Cri du Peuple,,﻿Loire dans le Cri du Peuple,﻿Töölispartei sõjaväes,﻿Lire dans le Cri du People,﻿Dans le lit du Peuple,﻿Lire dans le Cri du Peuple,﻿£dans le Cali du Peuple,﻿„Lire dans le Cri du Peuple“,﻿Liel dans le Cri du Peuple,﻿Lire dans le Cri du Peuple,﻿Lire dans le Cri du Peuple,﻿Loire dans le Crari du Peuple,﻿Luire dans le Cri du Peuple
boda gitana,fr,﻿Boda Gitana,﻿Boda Gitana,﻿Boda gitana,﻿Boda Gitana,﻿Boda gitana,﻿Boda Gitana,﻿Boda Gitana,﻿Boda Gitaa,,﻿Boda Gitala,﻿Boda Gittana,﻿Boda Gitaa,﻿Boda Gitana,﻿Boda Gitana,﻿Boda Gitana,﻿Boda Gitana,﻿Boda Gitana
A soldier with the arabs,es,﻿Země s krunýřem,﻿Jord med skal,﻿Eine Bodenplatte mit der Schale,﻿Με το περίβλημα,﻿A ground with the shell,,﻿Koorega maapind,"﻿Kuori, jossa on kuori",﻿Un sol avec la coque,﻿A héj és a héj között,﻿Un motivo con il guscio,﻿Ant žemės su kiautais,﻿Een grond met de schelp,﻿Ziemia ze skorupą,﻿Um terreno com a casca,﻿Un motiv pentru care nu există,﻿En markyta med skal
A Monthly Review,en,﻿Měsíční přezkum,﻿En månedlig oversigt,﻿Monatlicher Bericht,﻿A Μηνιαία επισκόπηση,,﻿Revisión mensual,﻿Igakuine läbivaatamine,﻿Kuukausikatsaus,﻿Un examen mensuel,﻿Havi felülvizsgálat,﻿Riesame mensile,﻿Mėnesinė apžvalga,﻿Een maandelijkse evaluatie,﻿Przegląd miesięczny,﻿Uma análise mensal,﻿Un bilanț lunar,﻿Månadsöversikt
vue d'arlon,fr,﻿ARLON view,﻿Arlon,﻿Seitenansicht,﻿Arlon view,﻿Arlon view,﻿Opinión de Arlon,﻿Arlon vaade,﻿Arlon view,,﻿Arlon-nézet,﻿Vista Arlon,﻿Arono rodinys,﻿Arlon view,﻿Widok Arlon,﻿Visualização em Arlon,﻿Vizualizare arlon,﻿Arlonvy
Deutsche Arbeit in Amerika,pl,﻿Deutsche Arbeit v Americku,﻿Deutsche Arbeit i Amerika,﻿Deutsche Arbeit in Amerika,﻿Deutsche Arbeit στην Amerika,﻿Deutsche Arbeit in Amerika,﻿Empleo en Amerika,﻿Deutsche Arbeit in Amerika,﻿Deutsche Arbeit Amerikas,﻿Deutsche Arbeit in Amerika,﻿Deutsche Arbeit in Amerika,﻿Deutsche Arbeit a Amerika,﻿„Deutsche Arbeit in Amelia“,﻿Deutsche Arbeit bij Amerska,,﻿Deutsche Arbeit em America,﻿Deutsche Arbeit din Achiika,﻿Deutsche Arbeit i Amerka
der weltkrieg,it,﻿der weltkreeg,﻿der weltckeg,﻿der Schweißei,﻿Dudsmetkreag,﻿der weltkreeg,﻿der weltkreem,﻿der weldkörg,﻿der weltkreeg,﻿der weltkreeg,﻿der weltrekeg,,﻿der weltkreg,﻿der weltkreeg,﻿der weltkeg,﻿número de pessoas,﻿der welpaskereg,﻿Demonsktträdareg
refugee students,fr,﻿studenti z řad uprchlíků,﻿studerende på flygtninge,﻿Refugee Refugee,﻿φοιτητές προσφύγων,﻿refugee students,﻿estudiantes refugiados,﻿pagulastest üliõpilased,﻿Pakolaisopiskelijat,,﻿menekült diákok,﻿studenti rifugiati,﻿pabėgėlių studentai,﻿vluchtelingenstudenten,﻿uchodźcy,﻿estudantes de refugiados,﻿studenții refugiați,﻿flyktingstudenter
agrell sundsvall,sv,﻿souhlasíl Sundsvall,﻿agreed Sundsvall,﻿Agrel Sundsvall,﻿αγρός Sundsvall,﻿agrel Sundsvall,﻿Sundsvall,﻿agrel Sundsvall,﻿agrel Sundsvallall,﻿agrel Sundsvall,﻿magundsvall,﻿agrel Sundsvall,﻿agresija Sundsvall,﻿agreol Sundsvall,﻿Sundsvall,﻿agrel Sundsvall,﻿portul Sundsvall,
Don Quijote de la Mancha en Sierra Morena,es,﻿Oblast I Quijóte de la Mancha v Sierra Morena,﻿Jeg Quijote de la Mancha en Sierra Morena,﻿I Quijote de la Mancha de Sierra Morena,﻿I Quijote de la Mancha en Sierra Morena,﻿I Quijote de la Mancha en Sierra Morena,,﻿I Quijote de la Mancha en Sierra Morena,﻿I Quijote de la Mancha en Sierra Morena,﻿I Quijote de la Mancha en Sierra Morena,﻿I. Quijete de la Mancha en Sierra Morena,﻿I Quijote de la Mancha en Sierra Morena,﻿I Quijote de la Mancha en Sierra Morena,﻿I Quijote de la Mancha en Sierra Morena,﻿I Quijte de la Mancha en Sierra Morena,﻿I Quijote de la Mancha en Sierra Morena,﻿I Quijote de la Mancha en Sierra Morena,﻿I Quijote de la Mancha en Sierra Morena
Gustav Mahler,en,﻿Gustav Mahler,﻿Gustav Mahler,﻿Gustav Mahler,﻿Ο Γκούσταβ Μάλερ,,﻿Gustav Mahler,﻿Gustav Mahler,﻿Gustav Mahler,﻿Gustav Mahler,﻿Gustav Mahler,﻿Gustav Mahler,﻿Gustav Mahler,﻿Gustav Mahler,﻿Gustav Mahler,﻿Gustav Mahler,﻿Gustav Mahler,﻿Gustav Mahler
act of law,en,﻿právní akt,﻿lov,﻿Gesetz,﻿νομοθετική πράξη,,﻿Ley de Derecho,﻿seadus,﻿laki,﻿l’acte de droit,﻿jogi aktus,﻿atto giuridico,﻿teisės aktas,﻿wet van de wet,﻿akt prawny,﻿lei de direito,﻿act legislativ,﻿lag
BErlin Wall,de,﻿Berlínská zeď,﻿Berlin Wall,,﻿Το Τείχος του Βερολίνου,﻿Berlin Wall,﻿Muro de Berlín,﻿Berliini müür,﻿Berlin Wall,﻿Berlin Wall,﻿A berlini fal,﻿Muro di Berlino,﻿Berlyno siena,﻿Berlijnse Muur,﻿Mur berliński,﻿Muro de Berlim,﻿Zidul Berlinului,﻿Berlinmuren
sobre la lengua argonesa,es,﻿o argonském jazyce,﻿på Argonei-sproget,﻿in der Sprache von Argonose,﻿σχετικά με τη γλώσσα του Argonese,﻿on the Argonese language,,﻿Argonese keele kohta,﻿argionean kielellä,﻿sur la langue Argonese,﻿az Argolone nyelvéről,﻿sulla lingua Argonese,﻿dėl Argonios kalbos,﻿over de argonese taal,﻿w języku Argzonese,﻿na língua «Arginonese»,﻿în limba Argonese,﻿på Argonesiska språket
alain cuny,en,﻿Alain Cuny,﻿Alain Cuny,﻿Alain Cuny,﻿ο κ. Alain Cuny,,﻿Alain Cuny,﻿Alain Cluny,﻿Alain Cuny,﻿Alain Cuny,﻿Alain Cuny,﻿Alain Casse,﻿Alain Cuny,﻿Alain Cuny,﻿Alain Cuny,﻿Alain Cuny,﻿Alain Cuny,﻿Alain Cuny
cour pemanente de justice internationale,pl,﻿„Cour pmanente de justice“ internationale,﻿Medlem af Den Internationale Domstol for Den Europæiske Union,﻿Internationale Vereinigung „Cour pmanente de justice“,﻿Cour ppanente de justice internationale,﻿Cour pemanente de justice internationale,﻿Tribunal de Justicia Internacional,﻿Cour pfeente de justice internationale,﻿Cour pmanente de justice internationale,﻿Cour de justice internationale,﻿Cour pemanente de justice internationale,﻿Corte di giustizia internazionale,﻿Cour pemanente de justice internationale,﻿Cour Pemanente de justice internationale,,﻿Tribunal de Justiça Internacional,﻿Cour pemanente de justiție internationale,﻿Cour pamante de justice internationale
Aethiopis,en,﻿Aethiopis,﻿Aethiopis,﻿Aethiops,﻿Aethiopis,,﻿Aetiopis,﻿Aetiopis,﻿Aetiopis,﻿Aethiopis,﻿Aethiopis,﻿Mezzi di trasporto,﻿Atiopis,﻿Aethiopis,﻿Aethiopis,﻿Aethoniopis,﻿Aethopis,﻿Aethiopis
